""
"normal     	No probs hon! How u doinat the mo?"
"normal     	K I'll take care of it"
"normal     	I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?"
"normal     	My battery is low babe"
"normal     	Shuhui has bought ron's present it's a swatch watch..."
"normal     	Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
"normal     	Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?"
"normal     	K I'll be sure to get up before noon and see what's what"
"normal     	K...k...yesterday i was in cbe ."
"normal     	Went to ganesh dress shop"
"spam          	pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
""
"normal     	If you r @ home then come down within 5 min"
"normal     	Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?"
"normal     	Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house"
"spam          	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1"
"normal     	Bill, as in: Are there any letters for me. i'm expecting one from orange that isn't a bill but may still say orange on it."
"normal     	Tell me pa. How is pain de."
"normal     	HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG"
"normal     	Ha. You don't know either. I did a a clever but simple thing with pears the other day, perfect for christmas."
"normal     	Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG""."
"normal     	ALRITE"
"normal     	Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow."
""
"normal     	How do you guys go to see movies on your side."
"normal     	Sorry,in meeting I'll call later"
"normal     	You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs"
"normal     	Kindly send some one to our flat before  &lt;DECIMAL&gt;  today."
"spam          	Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info"
"normal     	Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today..."
"normal     	What time should I tell my friend to be around?"
"normal     	Yes. that will be fine. Love you. Be safe."
"normal     	Thanks chikku..:-) gud nyt:-*"
"normal     	Is xy in ur car when u picking me up?"
"normal     	Thanx 4 the time we?ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
"normal     	Yo, any way we could pick something up tonight?"
"normal     	I've not sent it. He can send me."
"normal     	Fine am simply sitting."
"normal     	Thts god's gift for birds as humans hav some natural gift frm god.."
"normal     	Are you coming to day for class."
"normal     	Im done. Just studyn in library"
"normal     	Ok... U enjoy ur shows..."
"normal     	Anything..."
"normal     	Where wuld I be without my baby? The thought alone mite break me and I don?t wanna go crazy but everyboy needs his lady xxxxxxxx"
"normal     	Wat's my dear doing? Sleeping ah?"
"normal     	Hi' Test on  &lt;#&gt; rd ...."
"normal     	Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr."
"normal     	Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night"
"normal     	Yup n her fren lor. I'm meeting my fren at 730."
"normal     	Yeah, we got one lined up for us"
"normal     	And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*"
"normal     	Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me."
"normal     	Hey i've booked the pilates and yoga lesson already... Haha"
"normal     	Are you ok. What happen to behave like this"
"spam          	You have 1 new message. Please call 08712400200."
"normal     	My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her."
"normal     	Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3."
"normal     	No message..no responce..what happend?"
"spam          	We currently have a message awaiting your collection. To collect your message just call 08718723815."
"normal     	Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe"
"normal     	make that 3! 4 fucks sake?! x"
"normal     	Leave it. U will always be ignorant."
"normal     	Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)"
"normal     	at bruce b downs &amp; fletcher now"
"normal     	Where are you ? You said you would be here when I woke ... :-("
"normal     	Hey now am free you can call me."
"normal     	Tell me whos this pls:-)"
""
"normal     	Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing."
"normal     	Id have to check but there's only like 1 bowls worth left"
"normal     	Yes there were many sweets"
"normal     	I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed."
"spam          	U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901"
"normal     	Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?"
"normal     	Sir send to group mail check it."
"normal     	I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages.."
"normal     	""NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT"""
"normal     	You dont know you jabo me abi."
"spam          	Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
"normal     	Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane.."
"normal     	Are you being good, baby? :)"
"normal     	NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;"
"normal     	Mostly sports type..lyk footbl,crckt.."
"normal     	Ma head dey swell oh. Thanks for making my day"
"normal     	U should make a fb list"
"normal     	Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
"normal     	Sary just need Tim in the bollox &it hurt him a lot so he tol me!"
"normal     	Happy New Year Princess!"
"normal     	I'll text carlos and let you know, hang on"
"normal     	Don't worry, * is easy once have ingredients!"
"normal     	I love u 2 my little pocy bell I am sorry but I love u"
"normal     	Ok omw now, you at castor?"
"normal     	Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?"
"spam          	Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2"
"normal     	What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor.."
"normal     	7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
"normal     	Tonight? Yeah, I'd be down for that"
"normal     	What should i eat fo lunch senor"
"normal     	He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for!"
""
""
"normal     	I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
"normal     	Do you still have the grinder?"
"spam          	No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info"
"normal     	Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
"spam          	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
"normal     	K.i did't see you.:)k:)where are you now?"
"normal     	So i'm doing a list of buyers."
"normal     	No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second"
"normal     	Mm not entirely sure i understood that text but hey. Ho. Which weekend?"
"normal     	They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear."
"normal     	Don know..he is watching film in computer.."
"normal     	No b4 Thursday"
"normal     	Oh, then your phone phoned me but it disconnected"
"normal     	Id onluy matters when getting on from offcampus"
"spam          	This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only"
"normal     	Excellent, I'll see what riley's plans are"
"normal     	I will see in half an hour"
""
"normal     	Ew are you one of them?"
"normal     	Also hi wesley how've you been"
"normal     	Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!"
""
"spam          	Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q"
